Season,Week,game_date,home_team,away_team,has_odds
2019,4,2019-09-29,Broncos,Jaguars,
2019,4,2019-09-29,Texans,Panthers,
2019,4,2019-09-29,Bills,Patriots,
2019,4,2019-09-29,Colts,Raiders,
2019,4,2019-09-29,Giants,Redskins,
2019,4,2019-09-29,Cardinals,Seahawks,
2019,4,2019-09-29,Falcons,Titans,
2019,4,2019-09-29,Bears,Vikings,
2019,4,2019-09-30,Steelers,Bengals,
2019,5,2019-10-03,Seahawks,Rams,
2019,5,2019-10-06,Raiders,Bears,
2019,5,2019-10-06,Titans,Bills,
2019,5,2019-10-06,Chargers,Broncos,
2019,5,2019-10-06,Saints,Buccaneers,
2019,5,2019-10-06,Bengals,Cardinals,
2019,5,2019-10-06,Chiefs,Colts,
2019,5,2019-10-06,Texans,Falcons,
2019,5,2019-10-06,Panthers,Jaguars,
2019,5,2019-10-06,Eagles,Jets,
2019,5,2019-10-06,Cowboys,Packers,
2019,5,2019-10-06,Redskins,Patriots,
2019,5,2019-10-06,Steelers,Ravens,
