game_id,Season,Week,game_date,game_date_str,AwayTeam,HomeTeam,season_type,week_sort,team,total_plays,offensive_plays,pass_plays,rush_plays,sacks,punts,field_goal_plays,turnovers,penalties,first_downs,touchdowns,scoring_plays,scoring_drives,red_zone_plays,explosive_passes,explosive_runs,drive_count,pass_rate,rush_rate,explosive_play_rate,scoring_drive_rate,home_or_away
2019_2019-11-24_raiders_at_jets,2019,Week 12,2019-11-24,2019-11-24,Raiders,Jets,regular,12.0,Raiders,76,57,35,22,1,7,2,2,3,0,1,2,1,0,0,2,7,0.6140350877192983,0.38596491228070173,0.03508771929824561,0.14285714285714285,away
2019_2019-11-24_seahawks_at_eagles,2019,Week 12,2019-11-24,2019-11-24,Seahawks,Eagles,regular,12.0,Eagles,88,72,49,23,4,4,1,6,7,0,1,2,1,0,2,4,8,0.6805555555555556,0.3194444444444444,0.08333333333333333,0.125,home
2019_2019-11-24_seahawks_at_eagles,2019,Week 12,2019-11-24,2019-11-24,Seahawks,Eagles,regular,12.0,Seahawks,84,60,35,25,6,7,1,2,9,0,2,5,1,0,3,3,8,0.5833333333333334,0.4166666666666667,0.1,0.125,away
2019_2019-11-24_steelers_at_bengals,2019,Week 12,2019-11-24,2019-11-24,Steelers,Bengals,regular,12.0,Bengals,76,57,33,24,4,9,1,2,7,0,1,3,1,0,2,2,7,0.5789473684210527,0.42105263157894735,0.07017543859649122,0.14285714285714285,home
2019_2019-11-24_steelers_at_bengals,2019,Week 12,2019-11-24,2019-11-24,Steelers,Bengals,regular,12.0,Steelers,93,71,33,38,3,7,3,1,10,0,1,5,1,0,2,6,8,0.4647887323943662,0.5352112676056338,0.11267605633802817,0.125,away
2019_2019-11-25_ravens_at_rams,2019,Week 12,2019-11-25,2019-11-25,Ravens,Rams,regular,12.0,Rams,70,51,42,9,2,4,2,2,8,0,0,2,1,0,3,1,6,0.8235294117647058,0.17647058823529413,0.0784313725490196,0.16666666666666666,home
2019_2019-11-25_ravens_at_rams,2019,Week 12,2019-11-25,2019-11-25,Ravens,Rams,regular,12.0,Ravens,93,77,28,49,3,1,1,0,8,0,6,13,1,0,3,12,6,0.36363636363636365,0.6363636363636364,0.19480519480519481,0.16666666666666666,away
2019_2019-11-28_bears_at_lions,2019,Week 13,2019-11-28,2019-11-28,Bears,Lions,regular,13.0,Bears,81,64,40,24,1,3,1,1,12,0,3,7,1,0,3,3,5,0.625,0.375,0.09375,0.2,away
2019_2019-11-28_bears_at_lions,2019,Week 13,2019-11-28,2019-11-28,Bears,Lions,regular,13.0,Lions,95,74,46,28,2,5,2,1,12,0,2,6,1,0,4,1,6,0.6216216216216216,0.3783783783783784,0.06756756756756757,0.16666666666666666,home
2019_2019-11-28_bills_at_cowboys,2019,Week 13,2019-11-28,2019-11-28,Bills,Cowboys,regular,13.0,Bills,83,65,31,34,4,3,3,0,6,0,3,7,1,0,4,2,6,0.47692307692307695,0.5230769230769231,0.09230769230769231,0.16666666666666666,away
