Season,Week,game_date,away_team,home_team,side,odds,model_prob,implied_prob,edge,pred_home_margin,pred_total
2020,Week 12,2020-11-29,Raiders,Falcons,home,-110,0.9266763337166424,0.5238095238095238,0.4028668099071185,23.290663593411665,47.81600236528176
2021,Week 7,2021-10-24,Jets,Patriots,home,-110,0.9266066820492814,0.5238095238095238,0.4027971582397576,14.353200355667935,67.83227495968953
2020,Week 3,2020-09-27,Texans,Steelers,home,-110,0.926418074544014,0.5238095238095238,0.4026085507344902,8.803596710088831,47.63841095226845
2017,Week 16,2017-12-24,Giants,Cardinals,home,-110,0.9256857618898596,0.5238095238095238,0.4018762380803358,15.562528037470868,22.340050666520924
2018,Week 17,2018-12-30,Jets,Patriots,home,-110,0.925584821858262,0.5238095238095238,0.4017752980487381,24.03208014550412,41.31179207951245
2017,Week 16,2017-12-24,Dolphins,Chiefs,home,-110,0.9250470081309702,0.5238095238095238,0.4012374843214463,12.838744237620872,43.46987118269586
2017,Week 6,2017-10-15,Packers,Vikings,home,-110,0.9248783078556498,0.5238095238095238,0.401068784046126,10.970934678146962,34.002542763113354
2018,Week 10,2018-11-11,Dolphins,Packers,home,-110,0.9245597268747576,0.5238095238095238,0.4007502030652338,17.134049470215885,43.99994911856382
2018,Week 5,2018-10-07,Packers,Lions,home,-110,0.9239555924423482,0.5238095238095238,0.4001460686328243,6.949396371609615,52.18016592804768
2017,Week 11,2017-11-19,Chiefs,Giants,home,-110,0.923937950064239,0.5238095238095238,0.4001284262547151,4.947230474561549,20.36077515252502
2020,Week 17,2021-01-03,Cowboys,Giants,home,-110,0.9234113793232,0.5238095238095238,0.3996018555136762,7.545751007434904,44.0303783318042
2017,Week 14,2017-12-10,,Chargers,home,-110,0.9232096743094218,0.5238095238095238,0.3994001504998979,15.834460380724188,51.09683262088573
2018,Week 5,2018-10-07,Jaguars,Chiefs,home,-110,0.9223821850458204,0.5238095238095238,0.3985726612362965,13.363133722046102,44.85671518881556
2021,Week 2,2021-09-19,Chiefs,Ravens,home,-110,0.9223275689342424,0.5238095238095238,0.3985180451247185,14.641049530680226,68.09833191148813
2020,Week 9,2020-11-08,Lions,Vikings,home,-110,0.920700426338222,0.5238095238095238,0.3968909025286982,13.129180627286576,54.55593357044397
2018,Week 16,2018-12-23,Buccaneers,Cowboys,home,-110,0.9206902684897716,0.5238095238095238,0.3968807446802478,8.716249347748773,46.19130299024194
2020,Week 9,2020-11-08,Broncos,Falcons,home,-110,0.92061018915298,0.5238095238095238,0.3968006653434561,7.29045547326172,62.81381130242089
2020,Week 10,2020-11-15,49ers,Saints,home,-110,0.9201192374976936,0.5238095238095238,0.3963097136881698,10.46348854206476,40.582426237462585
2017,Week 13,2017-12-03,Texans,Titans,home,-110,0.9199809748794222,0.5238095238095238,0.3961714510698984,9.93922995679154,40.147362305665
2020,Week 16,2020-12-25,Vikings,Saints,home,-110,0.9192748971865649,0.5238095238095238,0.395465373377041,14.754320961116807,86.50471257415828
2018,Week 12,2018-11-22,,Cowboys,home,-110,0.9191539826956078,0.5238095238095238,0.3953444588860839,10.341051344149088,54.47563391541595
2019,Week 13,2019-12-01,Jets,Bengals,home,-110,0.9190321360173596,0.5238095238095238,0.3952226122078357,13.720173682280144,27.98067613375591
2018,Week 4,2018-09-30,Lions,Cowboys,home,-110,0.9186353524875543,0.5238095238095238,0.3948258286780305,6.377514754342626,50.57045466855765
2018,Week 8,2018-10-28,Jets,Bears,home,-110,0.9184750938320072,0.5238095238095238,0.3946655700224833,13.94633110387976,34.452363267605385
2018,Week 1,2018-09-09,49ers,Vikings,home,-110,0.9180857870588436,0.5238095238095238,0.3942762632493197,7.594414581111003,40.24186799982326
2021,Week 2,2021-09-19,Saints,Panthers,home,-110,0.9179939520981132,0.5238095238095238,0.3941844282885893,18.500655963537003,34.00381349014286
2018,Week 9,2018-11-04,Rams,Saints,home,-110,0.9178812282206442,0.5238095238095238,0.3940717044111204,9.443749847245046,79.64620940452308
2019,Week 17,2019-12-29,Steelers,Ravens,home,-110,0.9174822363524116,0.5238095238095238,0.3936727125428877,14.824881272370469,34.113234403521844
2021,Week 1,2021-09-12,Jaguars,Texans,home,-110,0.9148249169102276,0.5238095238095238,0.3910153931007037,13.29289362692754,58.26083652586447
2017,Week 7,2017-10-22,Falcons,Patriots,home,-110,0.9143272742739784,0.5238095238095238,0.3905177504644546,11.15267134318721,32.29745674915402
2018,Week 1,2018-09-06,Falcons,Eagles,home,-110,0.9135974344132148,0.5238095238095238,0.389787910603691,8.516071784033095,27.49930432376839
2018,Week 11,2018-11-18,Bengals,Ravens,home,-110,0.9129584872882426,0.5238095238095238,0.3891489634787187,4.552270682495751,43.69881935495968
2018,Week 10,2018-11-11,Lions,Bears,home,-110,0.912785603952875,0.5238095238095238,0.3889760801433511,13.696290511028074,47.774609316376846
2018,Week 2,2018-09-16,Texans,Titans,home,-110,0.9121125566409888,0.5238095238095238,0.3883030328314649,7.189730775318951,35.855329175605846
2019,Week 16,2019-12-22,Lions,Broncos,home,-110,0.9120130170936708,0.5238095238095238,0.3882034932841469,11.539231576107952,43.47063879571959
2020,Week 10,2020-11-15,Ravens,Patriots,home,-110,0.9116825317621058,0.5238095238095238,0.3878730079525819,10.394589263733328,40.22664958696463
2017,Week 3,2017-09-24,Ravens,Jaguars,home,-110,0.9115740879240426,0.5238095238095238,0.3877645641145187,23.32120751512097,51.58405427913799
