game_id,Season,week_num,Date,AwayTeam,HomeTeam,home_score,away_score,margin,total_points,home_win,away_win,PostSeason
2023_18_Seahawks_Cardinals,2023,18,01/07,Seahawks,Cardinals,20.0,21.0,-1.0,41.0,0,1,0
2023_18_Bears_Packers,2023,18,01/07,Bears,Packers,17.0,9.0,8.0,26.0,1,0,0
2023_18_Chiefs_Chargers,2023,18,01/07,Chiefs,Chargers,12.0,13.0,-1.0,25.0,0,1,0
2023_18_Broncos_Raiders,2023,18,01/07,Broncos,Raiders,27.0,14.0,13.0,41.0,1,0,0
2023_18_Eagles_Giants,2023,18,01/07,Eagles,Giants,27.0,10.0,17.0,37.0,1,0,0
2023_18_Rams_49ers,2023,18,01/07,Rams,49ers,20.0,21.0,-1.0,41.0,0,1,0
2023_18_Cowboys_Commanders,2023,18,01/07,Cowboys,Commanders,10.0,38.0,-28.0,48.0,0,1,0
2023_18_Bills_Dolphins,2023,18,01/07,Bills,Dolphins,14.0,21.0,-7.0,35.0,0,1,0
2023_19_Browns_Texans,2023,19,01/13,Browns,Texans,45.0,14.0,31.0,59.0,1,0,1
2023_19_Dolphins_Chiefs,2023,19,01/13,Dolphins,Chiefs,26.0,7.0,19.0,33.0,1,0,1
2023_19_Packers_Cowboys,2023,19,01/14,Packers,Cowboys,32.0,48.0,-16.0,80.0,0,1,1
2023_19_Rams_Lions,2023,19,01/14,Rams,Lions,24.0,23.0,1.0,47.0,1,0,1
2023_19_Steelers_Bills,2023,19,01/15,Steelers,Bills,31.0,17.0,14.0,48.0,1,0,1
2023_19_Eagles_Buccaneers,2023,19,01/15,Eagles,Buccaneers,32.0,9.0,23.0,41.0,1,0,1
2023_20_Texans_Ravens,2023,20,01/20,Texans,Ravens,34.0,10.0,24.0,44.0,1,0,1
2023_20_Packers_49ers,2023,20,01/20,Packers,49ers,24.0,21.0,3.0,45.0,1,0,1
2023_20_Buccaneers_Lions,2023,20,01/21,Buccaneers,Lions,31.0,23.0,8.0,54.0,1,0,1
2023_20_Chiefs_Bills,2023,20,01/21,Chiefs,Bills,24.0,27.0,-3.0,51.0,0,1,1
2023_21_Chiefs_Ravens,2023,21,01/28,Chiefs,Ravens,10.0,17.0,-7.0,27.0,0,1,1
2023_21_Lions_49ers,2023,21,01/28,Lions,49ers,34.0,31.0,3.0,65.0,1,0,1
2023_22_49ers_Chiefs,2023,22,02/11,49ers,Chiefs,25.0,22.0,3.0,47.0,1,0,1
2024_1_Ravens_Chiefs,2024,1,09/05,Ravens,Chiefs,27.0,20.0,7.0,47.0,1,0,0
2024_1_Packers_Eagles,2024,1,09/06,Packers,Eagles,34.0,29.0,5.0,63.0,1,0,0
2024_1_Steelers_Falcons,2024,1,09/08,Steelers,Falcons,10.0,18.0,-8.0,28.0,0,1,0
2024_1_Cardinals_Bills,2024,1,09/08,Cardinals,Bills,34.0,28.0,6.0,62.0,1,0,0
2024_1_Titans_Bears,2024,1,09/08,Titans,Bears,24.0,17.0,7.0,41.0,1,0,0
2024_1_Patriots_Bengals,2024,1,09/08,Patriots,Bengals,10.0,16.0,-6.0,26.0,0,1,0
2024_1_Texans_Colts,2024,1,09/08,Texans,Colts,27.0,29.0,-2.0,56.0,0,1,0
2024_1_Jaguars_Dolphins,2024,1,09/08,Jaguars,Dolphins,20.0,17.0,3.0,37.0,1,0,0
2024_1_Panthers_Saints,2024,1,09/08,Panthers,Saints,47.0,10.0,37.0,57.0,1,0,0
2024_1_Vikings_Giants,2024,1,09/08,Vikings,Giants,6.0,28.0,-22.0,34.0,0,1,0
2024_1_Raiders_Chargers,2024,1,09/08,Raiders,Chargers,22.0,10.0,12.0,32.0,1,0,0
2024_1_Broncos_Seahawks,2024,1,09/08,Broncos,Seahawks,26.0,20.0,6.0,46.0,1,0,0
2024_1_Cowboys_Browns,2024,1,09/08,Cowboys,Browns,17.0,33.0,-16.0,50.0,0,1,0
2024_1_Commanders_Buccaneers,2024,1,09/08,Commanders,Buccaneers,37.0,20.0,17.0,57.0,1,0,0
2024_1_Rams_Lions,2024,1,09/08,Rams,Lions,26.0,20.0,6.0,46.0,1,0,0
2024_1_Jets_49ers,2024,1,09/09,Jets,49ers,32.0,19.0,13.0,51.0,1,0,0
2024_2_Bills_Dolphins,2024,2,09/12,Bills,Dolphins,10.0,31.0,-21.0,41.0,0,1,0
2024_2_Raiders_Ravens,2024,2,09/15,Raiders,Ravens,23.0,26.0,-3.0,49.0,0,1,0
2024_2_Chargers_Panthers,2024,2,09/15,Chargers,Panthers,3.0,26.0,-23.0,29.0,0,1,0
2024_2_Saints_Cowboys,2024,2,09/15,Saints,Cowboys,19.0,44.0,-25.0,63.0,0,1,0
2024_2_Buccaneers_Lions,2024,2,09/15,Buccaneers,Lions,16.0,20.0,-4.0,36.0,0,1,0
2024_2_Colts_Packers,2024,2,09/15,Colts,Packers,16.0,10.0,6.0,26.0,1,0,0
2024_2_Browns_Jaguars,2024,2,09/15,Browns,Jaguars,13.0,18.0,-5.0,31.0,0,1,0
2024_2_49ers_Vikings,2024,2,09/15,49ers,Vikings,23.0,17.0,6.0,40.0,1,0,0
2024_2_Seahawks_Patriots,2024,2,09/15,Seahawks,Patriots,20.0,23.0,-3.0,43.0,0,1,0
2024_2_Jets_Titans,2024,2,09/15,Jets,Titans,17.0,24.0,-7.0,41.0,0,1,0
2024_2_Giants_Commanders,2024,2,09/15,Giants,Commanders,21.0,18.0,3.0,39.0,1,0,0
2024_2_Rams_Cardinals,2024,2,09/15,Rams,Cardinals,41.0,10.0,31.0,51.0,1,0,0
2024_2_Steelers_Broncos,2024,2,09/15,Steelers,Broncos,6.0,13.0,-7.0,19.0,0,1,0
2024_2_Bengals_Chiefs,2024,2,09/15,Bengals,Chiefs,26.0,25.0,1.0,51.0,1,0,0
2024_2_Bears_Texans,2024,2,09/15,Bears,Texans,19.0,13.0,6.0,32.0,1,0,0
2024_2_Falcons_Eagles,2024,2,09/16,Falcons,Eagles,21.0,22.0,-1.0,43.0,0,1,0
2024_3_Patriots_Jets,2024,3,09/19,Patriots,Jets,24.0,3.0,21.0,27.0,1,0,0
2024_3_Giants_Browns,2024,3,09/22,Giants,Browns,15.0,21.0,-6.0,36.0,0,1,0
2024_3_Bears_Colts,2024,3,09/22,Bears,Colts,21.0,16.0,5.0,37.0,1,0,0
2024_3_Texans_Vikings,2024,3,09/22,Texans,Vikings,34.0,7.0,27.0,41.0,1,0,0
2024_3_Eagles_Saints,2024,3,09/22,Eagles,Saints,12.0,15.0,-3.0,27.0,0,1,0
2024_3_Chargers_Steelers,2024,3,09/22,Chargers,Steelers,20.0,10.0,10.0,30.0,1,0,0
2024_3_Broncos_Buccaneers,2024,3,09/22,Broncos,Buccaneers,7.0,26.0,-19.0,33.0,0,1,0
